810	1	a	• Adventices : toujours très présentes en parcelles de tomate.
391	1	a	CAROTTE Mouche de la carotte : diminution progressive des captures depuis 2 semaines.
752	1	a	· Seul le charançon du bourgeon terminal peut encore justifier une protection insecti- cide.
1004	1	a	 , Situation du réseau de piégeage des noctuelles, teignes et mineuse de la tomate.
522	1	a	Choisya (6), Phormium (6) Citrus (3), Evonymus (3), Hebe (3), Camelia (2), Phlomis (2), Accacia (1), Cistus (1), Laurus (1), Morus (1), Nerium (1), Pittosporum (1), Poncirus (1), Prunus laurocerasus (1) Icerya purchasi sur Choisya Source : GIE FPSO Dégâts d’Icerya sur Pittosporum Source : GIE FPSO Dégâts de Balanococcus diminutus sur Phormium Source : GIE FPSO Bulletin de Santé du Végétal Aquitaine – Pépinière - Bilan 2013 - N°1 – 14 février 2014 - 8 / 14 Faits marquants : notons le développement important de la cochenille australienne ( Icerya purchasi) sur Choisya, Citrus, Hebe, Pittosporum, Phlomis, Poncirus, Prunus laurocerasus , • Scolytes (rappels réseau de piégeage) Réseau de piégeage Xyleborus dispar (xylébore disparate : les pièges Rebell (panneaux englués rouges en croix disposés au-dessus d’un flacon rempli d’Ethanol pur dilué à 50%) ont été installés sur les entreprises.
715	1	a	Méthodes alternatives  Favoriser la faune auxiliaire (coccinelles, chrysopes, syrphes, …) par l’installation ou la conservation de zones de refuges (refuge pour auxiliaires, bandes fleuries…) Il est important d’apprendre à reconnaître ces insectes auxiliaires à leurs différents stades de développement (œufs, larves, nymphes et adultes) et d’être assez patient pour leur laisser le temps de réguler les populations de pucerons (voir paragraphe « Le coin des auxiliaires »).
1044	1	a	[Photo dég ât petite altise] Tenthrède de la rave : observez la présence de dégâts et de larves sur les colzas entre 3 et 8 feuilles.
675	1	a	(prédateurs d’acariens et de pucerons).
2204	2	a	Oïdium : signalé sur 3 parcelles Cercosporiose : signalée sur 12 parcelles Rouille : signalée sur 4 parcelles Ramulariose : signalée sur 8 parcelles toujours en dessous des seuils de nuisibilité Seuil 1 : aucune protection effectuée à ce jour Compte-tenu des observations réalisées, les risques sont très faibles.
1383	2	a	» Courgette Oïdium De même que pour le melon le développement de l’oïdium augmente actuellement.
2282	2	a	• Bactériose La bactériose qui était jusqu(cid:8217)à présent conf inée à quelques parcelles à risque au Sud-Est du Lot-et-Garonne a tendance à apparaître dans l(cid:8217)ensemble des secteurs, l(cid:8217)intensité des attaques est pour le moment au stade (cid:8216)premières taches(cid:8217).
81	0	a	Plante potagère dont on concomme la fleur (l'inflorescence) comestible par l'homme sous la forme du légume du même nom.
261	0	a	Plante cultivée pour ses graines germées comestibles par l'homme sous forme de légume les pousses de soje ou germes de soja.
862	1	a	• Thrips : toujours des problèmes de fruits bronzés : à surveiller.
754	1	a	Par ailleurs, le risque pré- senté par la mouche des semis est faible du fait des cycles très rapides, en particulier la phase de levée et d’installa- tion des cultures, qui sont les deux stades les plus sensibles à la mouche des semis.
