606	1	a	Il se nourrit des arbres en végétation en piquant le feuillage pour sucer la sève.
1111	2	a	Directeur de publication : Michel RENEVIER Valparc - Espace Valentin Est 25048 BESANCON CEDEX Tel : 03.81.54.71.71 Fax : 03.81.54.71.54 accueil@franche-comte.chambagri.fr Oïdium (voir tableau) Forte présence et nuisibilité faible.
260	0	a	Le curcuma (Curcuma longa) est une plante herbacée rhizomateuse vivace du genre Curcuma de la famille des Zingibéracées originaire du sud de l'Asie. De ses rhizomes réduits en poudre est extraite l'épice homonyme. Le curcuma est particulièrement présent dans la vie socioculturelle du sous-continent indien, où il est considéré comme une plante exceptionnelle en regard de ses nombreuses propriétés (épice, conservateur de nourriture, agent colorant, cosmétique et médicinal)1. S'il est répandu dans le sud-est de l'Asie depuis l'antiquité, le curcuma est également l'objet de nombreuses études scientifiques dans le monde entier, afin de mieux cerner ses propriétés alimentaires et médicales1. Le curcuma est ainsi un enjeu économique pour l'Inde, son premier producteur mondial, et pour de nombreux pays. Source Wikipédia
1045	2	a	• Virus Des symptômes de virus sont observés sur les parcelles du réseau de surveillance.
1044	2	a	- Tavelure : contaminations secondaires avec taches sur feuilles en pommiers et fruits sur W illiams.
625	1	a	Dans 2 parcelles infestées par les pucerons, on observe des crispations de feuilles : 1 parcelle dépasse le seuil de 10% plantes avec crispations.
512	1	a	TAVELURE DU POMMIER—TAVELURE DU POIRIER Les conditions annoncées cette semaine pourraient être localement favorables à de nouvelles contaminations.
612	1	a	PUCERON VERT DU PRUNIER Les pucerons (Brachycaudus helichrysi) sont signalés depuis la mi-mai à la tour à succion de Lavannes (51).
868	2	a	Aquitaine Orthez : Le risque mildiou demeure en zone très favorable durant toute la période de simulation.
616	1	a	Maïs au stade « 3 feuilles visibles » pour les semis de mi-avril   Adevntices : Levée en cours à surveiller COLZA (page 9) : Stade : Floraison terminée dans la majorité des parcelles   Charançons des siliques : vers la fin du risque  Pucerons cendrés en progression  Maladies sur siliques discrètes TOURNESOL (page 12) :  Progression des pucerons et premières crispations visibles PROTÉAGINEUX (page 13) : Stades Pois, Féverole : 9 - 10 feuilles   Pucerons verts à surveiller  Maladies foliaires à surveiller POMME DE TERRE (page 16) : Situation : la majorité des parcelles sont levées ou en cours de levée   Risque mildiou : le risque est présent dans une majorité des secteurs pour les variétés sensibles et intermédiaires  Pucerons : poursuite du vol dans la région ; observations des premiers pucerons en parcelles.
